nNodes,Interval,PDRsf1,PDRsf2,PDR,nUnderSens,nInterf,nNoRecv
150,10,0.558444,-nan,0.558444,0,1840,147
150,20,0.726137,-nan,0.726137,0,1183,45
150,30,0.809635,-nan,0.809635,0,558,11
150,60,0.905749,-nan,0.905749,0,141,0
150,100,0.936455,-nan,0.936455,0,57,0
300,10,0.323667,-nan,0.323667,0,5153,934
300,20,0.54514,-nan,0.54514,0,3821,260
300,30,0.662544,-nan,0.662544,0,1942,77
300,60,0.820856,-nan,0.820856,0,528,8
300,100,0.88926,-nan,0.88926,0,196,3
