SF,nNodes,Gateways,Interval,PDR,nUnderSens,nInterf,nNoRecv
5,10,3,10,1,0,0,0
5,10,5,10,1,0,0,0
5,10,7,10,1,0,0,0
5,10,10,10,1,0,0,0
5,10,3,20,1,0,0,0
5,10,5,20,1,0,0,0
5,10,7,20,1,0,0,0
5,10,10,20,1,0,0,0
5,10,3,30,1,0,0,0
5,10,5,30,1,0,0,0
5,10,7,30,1,0,0,0
5,10,10,30,1,0,0,0
5,20,3,10,0.948204,0,230,0
5,20,5,10,0.964912,0,378,0
5,20,7,10,1,0,462,0
5,20,10,10,1,0,610,0
5,20,3,20,0.971619,0,85,0
5,20,5,20,0.971619,0,147,0
5,20,7,20,1,0,181,0
5,20,10,20,1,0,243,0
5,20,3,30,0.975,0,50,0
5,20,5,30,0.985,0,82,0
5,20,7,30,1,0,102,0
5,20,10,30,1,0,138,0
5,30,3,10,0.985475,0,104,0
5,30,5,10,1,0,174,0
5,30,7,10,1,0,249,0
5,30,10,10,1,0,332,0
5,30,3,20,1,0,0,0
5,30,5,20,1,0,0,0
5,30,7,20,1,0,0,0
5,30,10,20,1,0,0,0
5,30,3,30,1,0,0,0
5,30,5,30,1,0,0,0
5,30,7,30,1,0,0,0
5,30,10,30,1,0,0,0
5,50,3,10,0.95488,0,891,6
5,50,5,10,0.977607,0,1486,10
5,50,7,10,0.977607,0,2099,14
5,50,10,10,0.985294,0,3066,20
5,50,3,20,0.979947,0,189,0
5,50,5,20,0.991979,0,333,0
5,50,7,20,0.991979,0,476,0
5,50,10,20,0.991979,0,689,0
5,50,3,30,0.982966,0,91,0
5,50,5,30,0.991984,0,168,0
5,50,7,30,0.991984,0,242,0
5,50,10,30,0.991984,0,337,0
5,100,3,10,0.917364,0,2380,18
5,100,5,10,0.979759,0,3911,30
5,100,7,10,0.987956,0,5478,42
5,100,10,10,0.995483,0,7800,60
5,100,3,20,0.957845,0,699,0
5,100,5,20,0.985948,0,1106,0
5,100,7,20,0.991301,0,1546,0
5,100,10,20,0.997993,0,2221,0
5,100,3,30,0.970884,0,287,0
5,100,5,30,0.993976,0,476,0
5,100,7,30,1,0,666,0
5,100,10,30,1,0,960,0
5,150,3,10,0.929821,0,5763,90
5,150,5,10,0.944525,0,9651,150
5,150,7,10,0.945527,0,13516,210
5,150,10,10,0.960454,0,19226,300
5,150,3,20,0.965256,0,1455,9
5,150,5,20,0.972606,0,2371,15
5,150,7,20,0.972606,0,3349,21
5,150,10,20,0.980624,0,4720,30
5,150,3,30,0.984621,0,508,0
5,150,5,30,0.986627,0,895,0
5,150,7,30,0.986627,0,1285,0
5,150,10,30,0.988633,0,1808,0
5,200,3,10,0.806543,0,10799,456
5,200,5,10,0.906284,0,17788,760
5,200,7,10,0.908962,0,25061,1064
5,200,10,10,0.940925,0,36093,1520
5,200,3,20,0.902978,0,2932,54
5,200,5,20,0.961358,0,4891,90
5,200,7,20,0.961358,0,6837,126
5,200,10,20,0.977417,0,9890,180
5,200,3,30,0.926474,0,1488,24
5,200,5,30,0.96537,0,2473,40
5,200,7,30,0.96537,0,3427,56
5,200,10,30,0.980678,0,4885,80
5,250,3,10,0.755587,0,16069,561
5,250,5,10,0.781079,0,26905,935
5,250,7,10,0.877158,0,37609,1309
5,250,10,10,0.911281,0,53461,1870
5,250,3,20,0.887848,0,4231,63
5,250,5,20,0.900027,0,7066,105
5,250,7,20,0.953025,0,9901,147
5,250,10,20,0.968415,0,14097,210
5,250,3,30,0.919358,0,1940,18
5,250,5,30,0.930993,0,3163,30
5,250,7,30,0.965898,0,4391,42
5,250,10,30,0.978536,0,6266,60
5,300,3,10,0.768554,0,22424,1539
5,300,5,10,0.867228,0,36861,2565
5,300,7,10,0.875696,0,51340,3591
5,300,10,10,0.918598,0,73803,5130
5,300,3,20,0.876059,0,6937,228
5,300,5,20,0.933683,0,11432,380
5,300,7,20,0.94037,0,15920,532
5,300,10,20,0.961547,0,22895,760
5,300,3,30,0.923283,0,3205,81
5,300,5,30,0.960555,0,5271,135
5,300,7,30,0.965569,0,7419,189
5,300,10,30,0.976099,0,10642,270
