SF	nNodes	Interval	PDR	nUnderSens	nInterf	nNoRecv
0	10	10	0.54	0	21	2
0	10	20	0.82	0	8	1
0	10	30	0.85	0	6	0
0	10	60	0.923077	0	3	0
0	10	100	0.933333	0	2	0
0	20	10	0.52	0	46	2
0	20	20	0.68	0	32	0
0	20	30	0.8	0	16	0
0	20	60	0.95	0	4	0
0	20	100	0.966667	0	2	0
0	30	10	0.16	0	102	24
0	30	20	0.506667	0	67	7
0	30	30	0.583333	0	48	2
0	30	60	0.691667	0	34	3
0	30	100	0.833333	0	15	0
0	50	10	0.112	0	138	84
0	50	20	0.288	0	144	34
0	50	30	0.39	0	106	16
0	50	60	0.661616	0	61	6
0	50	100	0.826667	0	24	2
0	100	10	0.04	0	222	258
0	100	20	0.118	0	306	135
0	100	30	0.2075	0	239	78
0	100	60	0.413098	0	209	24
0	100	100	0.6	0	112	8
0	150	10	0.0106667	0	254	488
0	150	20	0.0453333	0	400	316
0	150	30	0.113333	0	361	171
0	150	60	0.303691	0	356	59
0	150	100	0.484444	0	209	23
0	200	10	0.005	0	274	721
0	200	20	0.027	0	455	518
0	200	30	0.0725	0	434	308
0	200	60	0.23641	0	444	160
0	200	100	0.363333	0	329	53
0	250	10	0.0048	0	281	963
0	250	20	0.0168	0	482	747
0	250	30	0.053	0	478	469
0	250	60	0.152679	0	602	236
0	250	100	0.306667	0	448	72
0	300	10	0.00266667	0	279	1217
0	300	20	0.01	0	509	976
0	300	30	0.0275	0	539	628
0	300	60	0.10906	0	714	348
0	300	100	0.245556	0	553	126
