SF	nNodes	Interval	PDR	nUnderSens	nInterf	nNoRecv
2	10	10	0.86	0	21	0
2	10	20	0.926667	0	11	0
2	10	30	0.93	0	7	0
2	10	60	1	0	0	0
2	10	100	1	0	0	0
2	20	10	0.843333	0	47	0
2	20	20	0.98	0	6	0
2	20	30	0.975	0	5	0
2	20	60	1	0	0	0
2	20	100	1	0	0	0
2	30	10	0.724444	0	119	5
2	30	20	0.8	0	89	1
2	30	30	0.87	0	39	0
2	30	60	0.89	0	32	1
2	30	100	0.922222	0	14	0
2	50	10	0.530667	0	321	31
2	50	20	0.728	0	195	9
2	50	30	0.81	0	94	1
2	50	60	0.879518	0	60	0
2	50	100	0.923077	0	23	0
2	100	10	0.286	0	908	163
2	100	20	0.542	0	634	53
2	100	30	0.668	0	315	17
2	100	60	0.798395	0	196	5
2	100	100	0.877722	0	71	2
2	150	10	0.164889	0	1428	451
2	150	20	0.384444	0	1234	151
2	150	30	0.537333	0	640	54
2	150	60	0.722594	0	397	18
2	150	100	0.797101	0	178	4
2	200	10	0.109667	0	1739	932
2	200	20	0.313333	0	1681	379
2	200	30	0.435	0	1007	123
2	200	60	0.650427	0	664	32
2	200	100	0.74518	0	291	13
2	250	10	0.0730667	0	2120	1356
2	250	20	0.221333	0	2317	603
2	250	30	0.3544	0	1401	213
2	250	60	0.591	0	953	65
2	250	100	0.745137	0	365	15
2	300	10	0.0537778	0	2340	1918
2	300	20	0.170444	0	2791	942
2	300	30	0.297667	0	1764	343
2	300	60	0.519385	0	1344	94
2	300	100	0.670562	0	568	24
