SF	nNodes	Interval	PDR	nUnderSens	nInterf	nNoRecv
4	10	10	0.926667	0	22	0
4	10	20	1	0	0	0
4	10	30	1	0	0	0
4	10	60	1	0	0	0
4	10	100	1	0	0	0
4	20	10	0.983333	0	10	0
4	20	20	1	0	0	0
4	20	30	1	0	0	0
4	20	60	1	0	0	0
4	20	100	1	0	0	0
4	30	10	0.883333	0	105	0
4	30	20	0.906563	0	83	1
4	30	30	0.911519	0	53	0
4	30	60	0.976667	0	7	0
4	30	100	1	0	0	0
4	50	10	0.806667	0	289	1
4	50	20	0.885389	0	171	0
4	50	30	0.930514	0	69	0
4	50	60	0.955823	0	22	0
4	50	100	0.983278	0	5	0
4	100	10	0.669333	0	948	44
4	100	20	0.811706	0	546	17
4	100	30	0.88014	0	234	5
4	100	60	0.923771	0	75	1
4	100	100	0.951424	0	29	0
4	150	10	0.558444	0	1840	147
4	150	20	0.726137	0	1183	45
4	150	30	0.809635	0	558	11
4	150	60	0.905749	0	141	0
4	150	100	0.936455	0	57	0
4	200	10	0.469833	0	2869	312
4	200	20	0.663769	0	1912	99
4	200	30	0.742284	0	988	39
4	200	60	0.830738	0	331	6
4	200	100	0.886002	0	132	4
4	250	10	0.390267	0	4054	519
4	250	20	0.599492	0	2847	148
4	250	30	0.715804	0	1376	41
4	250	60	0.835677	0	404	5
4	250	100	0.903421	0	144	0
4	300	10	0.323667	0	5153	934
4	300	20	0.54514	0	3821	260
4	300	30	0.662544	0	1942	77
4	300	60	0.820856	0	528	8
4	300	100	0.88926	0	196	3
