SF	nNodes	Interval	PDR	nUnderSens	nInterf	nNoRecv
1	10	10	0.8	0	17	1
1	10	20	0.8625	0	11	0
1	10	30	0.942857	0	4	0
1	10	60	0.92	0	4	0
1	10	100	1	0	0	0
1	20	10	0.694444	0	55	0
1	20	20	0.85625	0	23	0
1	20	30	0.942857	0	8	0
1	20	60	0.97	0	3	0
1	20	100	1	0	0	0
1	30	10	0.474074	0	132	10
1	30	20	0.695833	0	69	4
1	30	30	0.728571	0	53	4
1	30	60	0.86	0	21	0
1	30	100	0.883333	0	21	0
1	50	10	0.28	0	260	64
1	50	20	0.5375	0	171	14
1	50	30	0.648571	0	113	10
1	50	60	0.828	0	42	1
1	50	100	0.852843	0	44	0
1	100	10	0.118889	0	545	248
1	100	20	0.29125	0	468	99
1	100	30	0.412857	0	366	45
1	100	60	0.652	0	165	9
1	100	100	0.768844	0	135	3
1	150	10	0.0451852	0	714	575
1	150	20	0.171667	0	763	231
1	150	30	0.306667	0	618	110
1	150	60	0.553333	0	309	26
1	150	100	0.682274	0	267	18
1	200	10	0.0272222	0	810	941
1	200	20	0.10625	0	931	499
1	200	30	0.215	0	824	275
1	200	60	0.429	0	503	68
1	200	100	0.595138	0	444	39
1	250	10	0.0164444	0	868	1345
1	250	20	0.0725	0	1130	725
1	250	30	0.150286	0	1077	410
1	250	60	0.356	0	708	97
1	250	100	0.573441	0	591	45
1	300	10	0.01	0	915	1758
1	300	20	0.0575	0	1250	1012
1	300	30	0.104762	0	1279	601
1	300	60	0.305333	0	869	173
1	300	100	0.460211	0	891	79
