SF	nNodes	Interval	PDR	nUnderSens	nInterf	nNoRecv
3	10	10	0.926667	0	22	0
3	10	20	0.929766	0	21	0
3	10	30	1	0	0	0
3	10	60	1	0	0	0
3	10	100	1	0	0	0
3	20	10	0.966667	0	20	0
3	20	20	1	0	0	0
3	20	30	1	0	0	0
3	20	60	1	0	0	0
3	20	100	1	0	0	0
3	30	10	0.814444	0	164	3
3	30	20	0.880979	0	106	1
3	30	30	0.881469	0	70	1
3	30	60	0.933333	0	20	0
3	30	100	0.972222	0	5	0
3	50	10	0.705333	0	415	27
3	50	20	0.808981	0	283	2
3	50	30	0.865055	0	134	0
3	50	60	0.927711	0	36	0
3	50	100	0.949833	0	15	0
3	100	10	0.484	0	1435	113
3	100	20	0.691304	0	887	36
3	100	30	0.77683	0	435	10
3	100	60	0.887663	0	110	2
3	100	100	0.922948	0	45	1
3	150	10	0.341556	0	2593	370
3	150	20	0.581401	0	1754	123
3	150	30	0.697892	0	866	37
3	150	60	0.824866	0	258	4
3	150	100	0.898551	0	91	0
3	200	10	0.279333	0	3463	861
3	200	20	0.497576	0	2710	295
3	200	30	0.620828	0	1411	100
3	200	60	0.767956	0	447	15
3	200	100	0.824811	0	203	6
3	250	10	0.192267	0	4670	1388
3	250	20	0.431532	0	3851	400
3	250	30	0.561372	0	2062	125
3	250	60	0.742869	0	619	21
3	250	100	0.837022	0	239	4
3	300	10	0.140444	0	5547	2189
3	300	20	0.357111	0	5051	717
3	300	30	0.486712	0	2839	232
3	300	60	0.686832	0	903	34
3	300	100	0.795214	0	360	8
